time	V(vinput)
0.000000000000000e+000	0.000000e+000
2.865208416240107e-007	1.800264e-004
5.730416832480214e-007	3.600527e-004
8.595625248720321e-007	5.400791e-004
1.146083366496043e-006	7.201054e-004
1.432604208120053e-006	9.001318e-004
1.719125049744064e-006	1.080158e-003
2.005645891368074e-006	1.260184e-003
3.411493651495770e-006	2.143505e-003
5.504655637858695e-006	3.458677e-003
8.281711490751024e-006	5.203553e-003
1.209419804848399e-005	7.599008e-003
1.703994144241978e-005	1.070651e-002
2.366720779252953e-005	1.487054e-002
3.238297447561852e-005	2.034681e-002
4.435541668826024e-005	2.786929e-002
6.114950822124698e-005	3.842127e-002
8.666635065987592e-005	5.445381e-002
3.856493753575779e-004	2.422869e-001
9.994886610718641e-004	6.290027e-001
1.613327946786150e-003	1.013364e+000
2.227167232500437e-003	1.395371e+000
2.841006518214723e-003	1.775024e+000
3.454845803929009e-003	2.152322e+000
4.068685089643295e-003	2.527266e+000
4.682524375357580e-003	2.899855e+000
5.854399375357578e-003	3.604662e+000
7.026274375357576e-003	4.281221e+000
8.198149375357573e-003	4.929534e+000
9.370024375357573e-003	5.549600e+000
1.054189937535757e-002	6.141418e+000
1.171377437535757e-002	6.704990e+000
1.288564937535757e-002	7.240315e+000
1.402962258964328e-002	7.721752e+000
1.517359580392899e-002	8.158360e+000
1.631756901821470e-002	8.550139e+000
1.746154223250041e-002	8.897089e+000
1.860551544678612e-002	9.199211e+000
1.974948866107183e-002	9.456503e+000
2.089346187535754e-002	9.668967e+000
2.147939937535754e-002	9.756517e+000
2.206533687535753e-002	9.830647e+000
2.265127437535753e-002	9.891357e+000
2.323721187535753e-002	9.938647e+000
2.382314937535753e-002	9.972518e+000
2.440908687535753e-002	9.992968e+000
2.499502437535752e-002	9.999999e+000
2.563676544678609e-002	9.991797e+000
2.627850651821466e-002	9.967528e+000
2.692024758964323e-002	9.927191e+000
2.756198866107180e-002	9.870788e+000
2.820372973250037e-002	9.798317e+000
2.884547080392894e-002	9.709780e+000
2.948721187535751e-002	9.605175e+000
3.065908687535752e-002	9.369659e+000
3.183096187535753e-002	9.087926e+000
3.300283687535754e-002	8.759975e+000
3.417471187535755e-002	8.385807e+000
3.534658687535757e-002	7.965422e+000
3.651846187535758e-002	7.498820e+000
3.769033687535759e-002	6.986000e+000
3.863899758964332e-002	6.542975e+000
3.958765830392905e-002	6.081012e+000
4.053631901821477e-002	5.600110e+000
4.148497973250050e-002	5.100270e+000
4.243364044678623e-002	4.581491e+000
4.338230116107196e-002	4.043773e+000
4.433096187535768e-002	3.487117e+000
4.469368508964340e-002	3.272346e+000
4.505640830392912e-002	3.056158e+000
4.541913151821484e-002	2.838554e+000
4.578185473250056e-002	2.619533e+000
4.614457794678628e-002	2.399095e+000
4.650730116107200e-002	2.177241e+000
4.687002437535772e-002	1.953969e+000
4.731645294678630e-002	1.677596e+000
4.776288151821487e-002	1.400450e+000
4.820931008964345e-002	1.122531e+000
4.865573866107203e-002	8.438395e-001
4.910216723250061e-002	5.643747e-001
4.954859580392919e-002	2.841369e-001
4.999502437535777e-002	3.126277e-003
5.041355116107206e-002	-2.602655e-001
5.083207794678635e-002	-5.230244e-001
5.125060473250064e-002	-7.851504e-001
5.166913151821493e-002	-1.046643e+000
5.208765830392922e-002	-1.307504e+000
5.250618508964352e-002	-1.567731e+000
5.292471187535781e-002	-1.827325e+000
5.392917616107211e-002	-2.449599e+000
5.493364044678641e-002	-3.056262e+000
5.593810473250071e-002	-3.647317e+000
5.694256901821501e-002	-4.222763e+000
5.794703330392931e-002	-4.782599e+000
5.895149758964361e-002	-5.326826e+000
5.995596187535791e-002	-5.855444e+000
6.123944401821507e-002	-6.497830e+000
6.252292616107223e-002	-7.089347e+000
6.380640830392939e-002	-7.629995e+000
6.508989044678655e-002	-8.119775e+000
6.637337258964371e-002	-8.558685e+000
6.765685473250087e-002	-8.946727e+000
6.894033687535803e-002	-9.283899e+000
6.969368508964376e-002	-9.449953e+000
7.044703330392947e-002	-9.594174e+000
7.120038151821520e-002	-9.716564e+000
7.195372973250093e-002	-9.817121e+000
7.270707794678666e-002	-9.895846e+000
7.346042616107237e-002	-9.952739e+000
7.421377437535810e-002	-9.987801e+000
7.468810473250097e-002	-9.998052e+000
7.516243508964383e-002	-9.999444e+000
7.563676544678670e-002	-9.991977e+000
7.611109580392955e-002	-9.975649e+000
7.658542616107242e-002	-9.950463e+000
7.705975651821528e-002	-9.916416e+000
7.753408687535815e-002	-9.873510e+000
7.853855116107245e-002	-9.751697e+000
7.954301544678676e-002	-9.593067e+000
8.054747973250105e-002	-9.397620e+000
8.155194401821535e-002	-9.165356e+000
8.255640830392966e-002	-8.896275e+000
8.356087258964395e-002	-8.590377e+000
8.456533687535825e-002	-8.247662e+000
8.568140830392969e-002	-7.824931e+000
8.679747973250114e-002	-7.369800e+000
8.791355116107258e-002	-6.882271e+000
8.902962258964403e-002	-6.362342e+000
9.014569401821547e-002	-5.810015e+000
9.126176544678692e-002	-5.225288e+000
9.237783687535836e-002	-4.608162e+000
9.296377437535837e-002	-4.277214e+000
9.354971187535838e-002	-3.941624e+000
9.413564937535839e-002	-3.601394e+000
9.472158687535839e-002	-3.256523e+000
9.530752437535840e-002	-2.907010e+000
9.589346187535841e-002	-2.552857e+000
9.647939937535842e-002	-2.194063e+000
9.684212258964414e-002	-1.970867e+000
9.720484580392985e-002	-1.746940e+000
9.756756901821558e-002	-1.522281e+000
9.793029223250130e-002	-1.296890e+000
9.829301544678702e-002	-1.070768e+000
9.865573866107273e-002	-8.439137e-001
9.901846187535845e-002	-6.163277e-001
9.999502437535847e-002	-3.126277e-003
1.004135511610728e-001	2.602655e-001
1.008320779467871e-001	5.230244e-001
1.012506047325014e-001	7.851504e-001
1.016691315182156e-001	1.046643e+000
1.020876583039299e-001	1.307504e+000
1.025061850896442e-001	1.567731e+000
1.029247118753585e-001	1.827325e+000
1.039291761610728e-001	2.449599e+000
1.049336404467871e-001	3.056262e+000
1.059381047325014e-001	3.647317e+000
1.069425690182157e-001	4.222763e+000
1.079470333039300e-001	4.782599e+000
1.089514975896443e-001	5.326826e+000
1.099559618753586e-001	5.855444e+000
1.112394440182158e-001	6.497830e+000
1.125229261610729e-001	7.089347e+000
1.138064083039301e-001	7.629995e+000
1.150898904467873e-001	8.119775e+000
1.163733725896444e-001	8.558685e+000
1.176568547325016e-001	8.946727e+000
1.189403368753587e-001	9.283899e+000
1.196936850896445e-001	9.449953e+000
1.204470333039302e-001	9.594174e+000
1.212003815182159e-001	9.716564e+000
1.219537297325016e-001	9.817121e+000
1.227070779467874e-001	9.895846e+000
1.234604261610731e-001	9.952739e+000
1.242137743753588e-001	9.987801e+000
1.246881047325017e-001	9.998052e+000
1.251624350896445e-001	9.999444e+000
1.256367654467873e-001	9.991977e+000
1.261110958039302e-001	9.975649e+000
1.265854261610730e-001	9.950463e+000
1.270597565182159e-001	9.916416e+000
1.275340868753587e-001	9.873510e+000
1.285385511610729e-001	9.751697e+000
1.295430154467872e-001	9.593067e+000
1.305474797325014e-001	9.397620e+000
1.315519440182156e-001	9.165356e+000
1.325564083039298e-001	8.896275e+000
1.335608725896441e-001	8.590377e+000
1.345653368753583e-001	8.247662e+000
1.356814083039297e-001	7.824931e+000
1.367974797325010e-001	7.369800e+000
1.379135511610724e-001	6.882271e+000
1.390296225896437e-001	6.362342e+000
1.401456940182151e-001	5.810015e+000
1.412617654467865e-001	5.225288e+000
1.423778368753579e-001	4.608162e+000
1.429637743753578e-001	4.277214e+000
1.435497118753578e-001	3.941624e+000
1.441356493753578e-001	3.601394e+000
1.447215868753577e-001	3.256523e+000
1.453075243753577e-001	2.907010e+000
1.458934618753577e-001	2.552857e+000
1.464793993753576e-001	2.194063e+000
1.468421225896433e-001	1.970867e+000
1.472048458039290e-001	1.746940e+000
1.475675690182147e-001	1.522281e+000
1.479302922325004e-001	1.296890e+000
1.482930154467861e-001	1.070768e+000
1.486557386610718e-001	8.439137e-001
1.490184618753575e-001	6.163277e-001
1.499950243753574e-001	3.126277e-003
1.504135511610717e-001	-2.602655e-001
1.508320779467859e-001	-5.230244e-001
1.512506047325002e-001	-7.851504e-001
1.516691315182145e-001	-1.046643e+000
